Timestamp,CAN_ID,DLC,data1,data2,data3,data4,data5,data6,data7,data8,Label,Datetime,SecondsSinceStart
1749462092.357186,299400467,8,33,203,178,73,156,15,153,154,Normal,2025-06-09T15:11:32.357186,1.101498
1749462092.401886,109254151,8,170,255,246,237,52,203,148,17,Normal,2025-06-09T15:11:32.401886,1.146198
1749462092.458978,147900224,8,58,85,179,197,221,29,63,49,Normal,2025-06-09T15:11:32.458978,1.20329
1749462092.508285,510162477,8,179,69,8,195,94,173,191,174,Normal,2025-06-09T15:11:32.508285,1.252597
1749462092.556493,228623943,8,241,183,162,27,118,51,215,247,Normal,2025-06-09T15:11:32.556493,1.300805
1749462092.608868,74059917,8,145,6,208,74,63,147,116,86,Normal,2025-06-09T15:11:32.608868,1.35318
1749462092.657458,124524998,8,99,142,145,180,11,192,156,175,Normal,2025-06-09T15:11:32.657458,1.40177
1749462092.698138,384912094,8,80,238,142,12,102,19,128,80,Normal,2025-06-09T15:11:32.698138,1.44245
1749462092.75869,168137461,8,228,175,246,231,52,218,102,225,Normal,2025-06-09T15:11:32.758690,1.503002
1749462092.808489,479710322,8,120,86,5,65,151,64,234,127,Normal,2025-06-09T15:11:32.808489,1.552801
1749462092.855777,490930094,8,5,75,238,139,136,5,53,217,Normal,2025-06-09T15:11:32.855777,1.600089
1749462092.908529,445809048,8,83,100,147,68,247,6,183,222,Normal,2025-06-09T15:11:32.908529,1.652841
1749462092.958253,85461804,8,49,188,40,64,193,64,92,160,Normal,2025-06-09T15:11:32.958253,1.702565
1749462093.000509,199535529,8,65,231,78,47,97,185,115,5,Normal,2025-06-09T15:11:33.000509,1.744821
1749462093.058036,130790106,8,126,182,74,33,172,171,24,117,Normal,2025-06-09T15:11:33.058036,1.802348
1749462093.109339,296133212,8,142,232,10,237,228,7,18,62,Normal,2025-06-09T15:11:33.109339,1.853651
1749462093.155396,282305703,8,133,190,141,6,38,33,20,67,Normal,2025-06-09T15:11:33.155396,1.899708
1749462093.208853,333930685,8,247,224,120,137,154,134,4,217,Normal,2025-06-09T15:11:33.208853,1.953165
1749462093.252462,342558878,8,193,201,237,166,193,92,242,169,Normal,2025-06-09T15:11:33.252462,1.996774
1749462093.308212,65620521,8,170,38,103,135,146,177,97,104,Normal,2025-06-09T15:11:33.308212,2.052524
1749462093.356616,456795141,8,208,207,117,140,129,178,150,231,Normal,2025-06-09T15:11:33.356616,2.100928
1749462093.408359,404676139,8,153,44,184,63,39,147,30,184,Normal,2025-06-09T15:11:33.408359,2.152671
1749462093.456021,30730958,8,186,38,195,162,162,204,62,105,Normal,2025-06-09T15:11:33.456021,2.200333
1749462093.507704,270732051,8,116,238,67,80,62,236,146,8,Normal,2025-06-09T15:11:33.507704,2.252016
1749462093.554711,25182346,8,193,75,243,224,16,115,243,26,Normal,2025-06-09T15:11:33.554711,2.299023
1749462093.600084,36959467,8,254,46,161,206,24,195,91,93,Normal,2025-06-09T15:11:33.600084,2.344396
1749462093.658487,83103464,8,141,240,212,161,8,191,181,210,Normal,2025-06-09T15:11:33.658487,2.402799
1749462093.70891,404281041,8,187,24,206,117,211,48,6,155,Normal,2025-06-09T15:11:33.708910,2.453222
1749462093.756746,212971260,8,24,252,221,29,47,52,144,221,Normal,2025-06-09T15:11:33.756746,2.501058
1749462093.809457,175416537,8,72,100,29,15,225,96,120,155,Normal,2025-06-09T15:11:33.809457,2.553769
1749462093.859191,205232111,8,234,210,174,49,224,8,35,230,Normal,2025-06-09T15:11:33.859191,2.603503
1749462093.902469,387738678,8,211,189,133,6,247,172,91,104,Normal,2025-06-09T15:11:33.902469,2.646781
1749462093.95763,125021164,8,145,246,9,23,226,248,87,62,Normal,2025-06-09T15:11:33.957630,2.701942
1749462094.009537,31114305,8,196,198,106,35,15,138,178,30,Normal,2025-06-09T15:11:34.009537,2.753849
1749462094.059186,488481526,8,163,76,249,156,29,137,208,161,Normal,2025-06-09T15:11:34.059186,2.803498
1749462094.106568,138767812,8,55,93,136,223,14,253,67,24,Normal,2025-06-09T15:11:34.106568,2.85088
1749462094.156924,284936118,8,70,108,4,43,156,178,134,13,Normal,2025-06-09T15:11:34.156924,2.901236
1749462094.20216,395782001,8,249,86,68,156,119,159,161,89,Normal,2025-06-09T15:11:34.202160,2.946472
1749462094.257779,137504638,8,50,123,89,107,168,112,34,47,Normal,2025-06-09T15:11:34.257779,3.002091
1749462094.294897,507052854,8,135,194,174,95,127,193,195,239,Normal,2025-06-09T15:11:34.294897,3.039209
1749462094.358648,451441832,8,19,132,170,78,198,238,79,89,Normal,2025-06-09T15:11:34.358648,3.10296
1749462094.406031,115217418,8,8,145,223,94,53,36,31,195,Normal,2025-06-09T15:11:34.406031,3.150343
1749462094.459513,496858348,8,249,62,216,30,90,19,6,148,Normal,2025-06-09T15:11:34.459513,3.203825
1749462094.509562,280904274,8,32,76,220,79,161,110,8,139,Normal,2025-06-09T15:11:34.509562,3.253874
1749462094.553931,149861451,8,156,120,175,148,85,127,0,52,Normal,2025-06-09T15:11:34.553931,3.298243
1749462094.608419,211948274,8,178,185,197,228,186,66,221,142,Normal,2025-06-09T15:11:34.608419,3.352731
1749462094.657884,249937787,8,19,211,26,123,227,188,77,73,Normal,2025-06-09T15:11:34.657884,3.402196
1749462094.709134,263128821,8,34,132,47,193,114,16,231,169,Normal,2025-06-09T15:11:34.709134,3.453446
1749462094.759002,212702259,8,123,29,6,190,234,76,100,198,Normal,2025-06-09T15:11:34.759002,3.503314
1749462094.808062,406442322,8,87,207,58,57,186,35,132,77,Normal,2025-06-09T15:11:34.808062,3.552374
1749462094.849699,161478804,8,139,145,220,162,167,82,116,40,Normal,2025-06-09T15:11:34.849699,3.594011
1749462094.909303,289168127,8,150,224,202,130,115,75,134,181,Normal,2025-06-09T15:11:34.909303,3.653615
1749462094.958781,460752794,8,235,69,170,91,135,106,142,15,Normal,2025-06-09T15:11:34.958781,3.703093
1749462095.007857,229660083,8,246,97,15,125,28,222,28,66,Normal,2025-06-09T15:11:35.007857,3.752169
1749462095.057803,403072383,8,5,230,197,113,78,0,30,12,Normal,2025-06-09T15:11:35.057803,3.802115
1749462095.103226,469521361,8,132,156,243,142,191,186,239,52,Normal,2025-06-09T15:11:35.103226,3.847538
1749462095.157942,199267442,8,234,202,255,192,189,214,193,131,Normal,2025-06-09T15:11:35.157942,3.902254
1749462095.197519,349607635,8,214,5,172,183,120,89,191,53,Normal,2025-06-09T15:11:35.197519,3.941831
1749462095.259261,176208540,8,105,253,27,74,245,61,25,136,Normal,2025-06-09T15:11:35.259261,4.003573
1749462095.308517,236963316,8,142,198,186,35,54,150,38,186,Normal,2025-06-09T15:11:35.308517,4.052829
1749462095.355974,246795139,8,123,124,35,76,138,1,32,55,Normal,2025-06-09T15:11:35.355974,4.100286
1749462095.40351,89479500,8,142,17,192,131,56,245,78,24,Normal,2025-06-09T15:11:35.403510,4.147822
1749462095.457537,188980986,8,159,32,148,75,63,129,22,155,Normal,2025-06-09T15:11:35.457537,4.201849
1749462095.505147,162890491,8,113,52,183,185,3,25,177,123,Normal,2025-06-09T15:11:35.505147,4.249459
1749462095.556666,315271694,8,120,211,205,46,103,171,64,120,Normal,2025-06-09T15:11:35.556666,4.300978
1749462095.60955,211506531,8,145,241,172,112,3,14,35,48,Normal,2025-06-09T15:11:35.609550,4.353862
1749462095.659071,291780672,8,242,200,172,139,34,111,165,214,Normal,2025-06-09T15:11:35.659071,4.403383
1749462095.707893,192674395,8,140,23,4,68,107,243,124,10,Normal,2025-06-09T15:11:35.707893,4.452205
1749462095.757936,217198785,8,233,157,169,128,163,206,191,52,Normal,2025-06-09T15:11:35.757936,4.502248
1749462095.799495,477381022,8,255,185,9,145,191,135,34,2,Normal,2025-06-09T15:11:35.799495,4.543807
1749462095.852146,501330889,8,217,112,122,111,133,107,13,69,Normal,2025-06-09T15:11:35.852146,4.596458
1749462095.90012,45013555,8,63,96,204,75,16,130,184,181,Normal,2025-06-09T15:11:35.900120,4.644432
1749462095.958814,279574035,8,78,89,72,225,250,146,0,37,Normal,2025-06-09T15:11:35.958814,4.703126
1749462096.006893,351064851,8,181,151,209,1,202,193,66,32,Normal,2025-06-09T15:11:36.006893,4.751205
1749462096.053905,301716025,8,252,9,133,150,40,127,220,204,Normal,2025-06-09T15:11:36.053905,4.798217
1749462096.103228,47903655,8,17,64,43,138,219,205,37,234,Normal,2025-06-09T15:11:36.103228,4.84754
1749462096.157894,406127347,8,156,90,184,39,186,120,117,35,Normal,2025-06-09T15:11:36.157894,4.902206
1749462096.204289,216122563,8,52,78,51,127,207,157,65,193,Normal,2025-06-09T15:11:36.204289,4.948601
1749462096.258718,374219831,8,161,222,247,172,32,169,247,7,Normal,2025-06-09T15:11:36.258718,5.00303
1749462096.305918,414430791,8,233,148,176,61,224,6,64,133,Normal,2025-06-09T15:11:36.305918,5.05023
1749462096.356992,289627984,8,163,226,172,31,41,83,78,200,Normal,2025-06-09T15:11:36.356992,5.101304
1749462096.409346,43221924,8,112,10,120,248,194,112,212,169,Normal,2025-06-09T15:11:36.409346,5.153658
1749462096.458157,357421126,8,163,170,73,174,3,27,182,185,Normal,2025-06-09T15:11:36.458157,5.202469
1749462096.508068,140769724,8,11,239,53,112,2,216,87,183,Normal,2025-06-09T15:11:36.508068,5.25238
1749462096.559506,412441261,8,241,122,81,179,21,106,140,156,Normal,2025-06-09T15:11:36.559506,5.303818
1749462096.606788,31805507,8,100,94,35,246,44,72,223,125,Normal,2025-06-09T15:11:36.606788,5.3511
1749462096.654559,197904616,8,35,198,221,105,212,20,88,248,Normal,2025-06-09T15:11:36.654559,5.398871
1749462096.702251,193763499,8,59,240,233,144,145,3,22,203,Normal,2025-06-09T15:11:36.702251,5.446563
1749462096.758891,88163597,8,66,216,26,121,170,181,0,250,Normal,2025-06-09T15:11:36.758891,5.503203
1749462096.807981,36131351,8,33,135,75,158,171,150,9,0,Normal,2025-06-09T15:11:36.807981,5.552293
1749462096.858924,223953729,8,188,172,138,130,190,214,11,244,Normal,2025-06-09T15:11:36.858924,5.603236
1749462096.909658,331191535,8,211,126,237,52,44,189,97,164,Normal,2025-06-09T15:11:36.909658,5.65397
1749462096.95913,496763755,8,218,75,19,78,196,121,17,126,Normal,2025-06-09T15:11:36.959130,5.703442
1749462097.00187,353329664,8,58,59,58,167,129,12,90,235,Normal,2025-06-09T15:11:37.001870,5.746182
1749462097.057858,121489250,8,202,185,83,140,150,197,83,243,Normal,2025-06-09T15:11:37.057858,5.80217
1749462097.109386,218254926,8,2,214,236,225,5,234,169,92,Normal,2025-06-09T15:11:37.109386,5.853698
1749462097.158715,466271390,8,13,121,23,219,73,185,15,31,Normal,2025-06-09T15:11:37.158715,5.903027
1749462097.208405,412198587,8,43,60,88,135,207,174,180,254,Normal,2025-06-09T15:11:37.208405,5.952717
1749462097.257561,2676281,8,234,40,77,215,196,15,113,107,Normal,2025-06-09T15:11:37.257561,6.001873
1749462097.301229,11232390,8,150,63,194,143,116,208,119,155,Normal,2025-06-09T15:11:37.301229,6.045541
1749462097.358427,195199430,8,27,160,187,222,84,211,199,231,Normal,2025-06-09T15:11:37.358427,6.102739
1749462097.395686,50346116,8,151,229,226,238,197,245,27,145,Normal,2025-06-09T15:11:37.395686,6.139998
1749462097.458815,199663374,8,79,247,140,231,62,55,182,165,Normal,2025-06-09T15:11:37.458815,6.203127
1749462097.508394,289619810,8,17,243,1,220,58,172,107,35,Normal,2025-06-09T15:11:37.508394,6.252706
1749462097.554206,351481911,8,209,44,22,100,30,36,43,59,Normal,2025-06-09T15:11:37.554206,6.298518
1749462097.603053,255497991,8,219,86,59,243,146,114,236,72,Normal,2025-06-09T15:11:37.603053,6.347365
1749462097.658409,199863704,8,61,232,222,218,27,131,102,192,Normal,2025-06-09T15:11:37.658409,6.402721
1749462097.695816,276202047,8,5,189,181,47,88,213,178,255,Normal,2025-06-09T15:11:37.695816,6.440128
1749462097.75905,503571675,8,85,35,228,158,191,175,130,48,Normal,2025-06-09T15:11:37.759050,6.503362
1749462097.808476,438385115,8,169,138,225,35,225,5,136,18,Normal,2025-06-09T15:11:37.808476,6.552788
1749462097.859285,450435922,8,241,244,67,168,66,106,189,127,Normal,2025-06-09T15:11:37.859285,6.603597
1749462097.909705,418628772,8,210,12,206,207,129,43,221,89,Normal,2025-06-09T15:11:37.909705,6.654017
1749462097.958882,173519259,8,119,160,206,92,14,238,184,58,Normal,2025-06-09T15:11:37.958882,6.703194
1749462097.996855,467878325,8,170,90,220,83,169,32,93,70,Normal,2025-06-09T15:11:37.996855,6.741167
1749462098.059361,325264192,8,251,210,61,176,213,120,242,154,Normal,2025-06-09T15:11:38.059361,6.803673
1749462098.109182,40145573,8,238,87,70,73,165,184,193,28,Normal,2025-06-09T15:11:38.109182,6.853494
1749462098.15874,46600212,8,29,35,152,253,217,216,43,183,Normal,2025-06-09T15:11:38.158740,6.903052
1749462098.209338,501736116,8,185,250,248,198,206,136,151,166,Normal,2025-06-09T15:11:38.209338,6.95365
1749462098.258518,153123146,8,82,87,205,191,37,180,49,217,Normal,2025-06-09T15:11:38.258518,7.00283
1749462098.309565,65637002,8,57,38,37,179,180,48,138,159,Normal,2025-06-09T15:11:38.309565,7.053877
1749462098.359597,452255460,8,219,126,207,53,112,233,7,108,Normal,2025-06-09T15:11:38.359597,7.103909
1749462098.406665,265764181,8,27,111,48,204,110,170,207,117,Normal,2025-06-09T15:11:38.406665,7.150977
1749462098.454022,466889095,8,228,214,231,51,122,230,209,3,Normal,2025-06-09T15:11:38.454022,7.198334
1749462098.50946,129342587,8,250,230,212,152,17,209,198,235,Normal,2025-06-09T15:11:38.509460,7.253772
1749462098.557975,470266454,8,135,66,92,93,93,179,17,149,Normal,2025-06-09T15:11:38.557975,7.302287
1749462098.60933,401270293,8,9,190,33,153,75,13,208,132,Normal,2025-06-09T15:11:38.609330,7.353642
1749462098.648765,23286469,8,141,34,48,19,196,103,232,56,Normal,2025-06-09T15:11:38.648765,7.393077
1749462098.708374,297655157,8,9,94,228,29,253,88,62,196,Normal,2025-06-09T15:11:38.708374,7.452686
1749462098.757898,122673547,8,133,46,154,60,184,190,223,190,Normal,2025-06-09T15:11:38.757898,7.50221
1749462098.808551,520259674,8,176,91,164,164,40,53,44,234,Normal,2025-06-09T15:11:38.808551,7.552863
1749462098.85911,262338885,8,6,160,118,241,37,66,0,24,Normal,2025-06-09T15:11:38.859110,7.603422
1749462098.899512,123527487,8,171,74,16,61,151,91,236,239,Normal,2025-06-09T15:11:38.899512,7.643824
1749462098.957792,401659444,8,116,30,253,218,187,220,67,234,Normal,2025-06-09T15:11:38.957792,7.702104
1749462099.009385,384155945,8,154,134,28,54,139,37,126,98,Normal,2025-06-09T15:11:39.009385,7.753697
1749462099.058394,273536377,8,20,144,216,234,6,44,109,173,Normal,2025-06-09T15:11:39.058394,7.802706
1749462099.108219,335753,8,109,238,195,91,33,71,174,96,Normal,2025-06-09T15:11:39.108219,7.852531
1749462099.159329,436104368,8,224,204,66,5,213,71,192,9,Normal,2025-06-09T15:11:39.159329,7.903641
1749462099.207716,324476794,8,181,202,213,255,229,51,230,216,Normal,2025-06-09T15:11:39.207716,7.952028
1749462099.25607,119822066,8,218,82,10,21,5,199,205,220,Normal,2025-06-09T15:11:39.256070,8.000382
1749462099.308694,96820095,8,5,240,244,67,54,75,195,134,Normal,2025-06-09T15:11:39.308694,8.053006
1749462099.358667,184659593,8,225,195,223,244,148,33,61,193,Normal,2025-06-09T15:11:39.358667,8.102979
1749462099.406635,227586489,8,182,216,145,146,173,91,167,251,Normal,2025-06-09T15:11:39.406635,8.150947
1749462099.459409,425118285,8,62,18,76,217,60,197,202,217,Normal,2025-06-09T15:11:39.459409,8.203721
1749462099.508728,529551867,8,60,80,182,251,146,89,213,240,Normal,2025-06-09T15:11:39.508728,8.25304
1749462099.556831,391929123,8,58,4,160,151,3,159,43,221,Normal,2025-06-09T15:11:39.556831,8.301143
1749462099.609018,178312494,8,82,17,209,4,3,87,61,133,Normal,2025-06-09T15:11:39.609018,8.35333
1749462099.659145,517807914,8,200,206,96,87,175,239,29,160,Normal,2025-06-09T15:11:39.659145,8.403457
1749462099.704663,114631201,8,225,69,64,137,109,229,26,254,Normal,2025-06-09T15:11:39.704663,8.448975
1749462099.758531,83811004,8,123,199,217,86,1,136,74,216,Normal,2025-06-09T15:11:39.758531,8.502843
1749462099.808839,427930706,8,171,8,32,8,133,254,80,158,Normal,2025-06-09T15:11:39.808839,8.553151
1749462099.847521,259962120,8,36,72,248,183,140,49,8,79,Normal,2025-06-09T15:11:39.847521,8.591833
1749462099.899782,236654962,8,29,78,9,49,111,100,177,13,Normal,2025-06-09T15:11:39.899782,8.644094
1749462099.957082,391917932,8,70,42,223,81,171,44,87,129,Normal,2025-06-09T15:11:39.957082,8.701394
1749462100.00881,516392522,8,11,164,145,37,1,157,213,30,Normal,2025-06-09T15:11:40.008810,8.753122
1749462100.058976,357987441,8,194,19,156,225,4,161,156,19,Normal,2025-06-09T15:11:40.058976,8.803288
1749462100.104184,488080694,8,162,94,106,113,56,200,112,248,Normal,2025-06-09T15:11:40.104184,8.848496
1749462100.149795,510790955,8,75,202,169,45,54,111,214,175,Normal,2025-06-09T15:11:40.149795,8.894107
1749462100.20897,146207995,8,60,228,57,202,192,207,57,141,Normal,2025-06-09T15:11:40.208970,8.953282
1749462100.258114,101251537,8,186,103,114,209,100,207,236,132,Normal,2025-06-09T15:11:40.258114,9.002426
1749462100.309905,512923449,8,233,219,107,43,129,219,117,148,Normal,2025-06-09T15:11:40.309905,9.054217
1749462100.357814,477332231,8,8,249,239,19,160,44,25,244,Normal,2025-06-09T15:11:40.357814,9.102126
1749462100.409319,244130156,8,68,242,38,71,230,34,0,161,Normal,2025-06-09T15:11:40.409319,9.153631
1749462100.449143,34337179,8,114,150,41,158,56,10,138,70,Normal,2025-06-09T15:11:40.449143,9.193455
1749462100.509863,190336254,8,150,28,12,6,176,13,41,124,Normal,2025-06-09T15:11:40.509863,9.254175
1749462100.559014,61180214,8,245,47,55,186,226,165,80,5,Normal,2025-06-09T15:11:40.559014,9.303326
1749462100.607156,60885570,8,9,159,132,119,185,239,62,246,Normal,2025-06-09T15:11:40.607156,9.351468
1749462100.654884,374921958,8,63,240,13,164,109,34,109,49,Normal,2025-06-09T15:11:40.654884,9.399196
1749462100.709789,282690839,8,237,129,235,162,13,254,33,128,Normal,2025-06-09T15:11:40.709789,9.454101
1749462100.753918,344271262,8,255,27,201,169,175,2,86,62,Normal,2025-06-09T15:11:40.753918,9.49823
1749462100.796987,263200023,8,114,102,155,196,109,0,55,7,Normal,2025-06-09T15:11:40.796987,9.541299
1749462100.856507,508874081,8,194,223,34,52,3,43,131,67,Normal,2025-06-09T15:11:40.856507,9.600819
1749462100.90988,329375259,8,71,25,238,112,12,0,31,84,Normal,2025-06-09T15:11:40.909880,9.654192
1749462100.955359,311048285,8,108,59,9,7,214,44,103,150,Normal,2025-06-09T15:11:40.955359,9.699671
1749462101.008921,440820037,8,89,167,54,67,164,120,24,223,Normal,2025-06-09T15:11:41.008921,9.753233
1749462101.059163,262327007,8,107,142,101,146,1,195,113,229,Normal,2025-06-09T15:11:41.059163,9.803475
1749462101.103384,343667554,8,171,129,140,162,68,86,230,83,Normal,2025-06-09T15:11:41.103384,9.847696
1749462101.149437,422740595,8,28,88,98,196,47,151,159,113,Normal,2025-06-09T15:11:41.149437,9.893749
1749462101.209423,164513253,8,49,150,248,61,166,32,240,118,Normal,2025-06-09T15:11:41.209423,9.953735
1749462101.258753,474488826,8,119,125,107,69,189,207,215,104,Normal,2025-06-09T15:11:41.258753,10.003065
1749462101.309436,269662549,8,4,126,212,33,119,32,100,237,Normal,2025-06-09T15:11:41.309436,10.053748
1749462101.35975,277433058,8,208,13,111,64,137,139,233,37,Normal,2025-06-09T15:11:41.359750,10.104062
1749462101.400968,200543934,8,32,126,120,193,250,240,70,22,Normal,2025-06-09T15:11:41.400968,10.14528
1749462101.458414,411566309,8,156,75,208,250,79,141,26,165,Normal,2025-06-09T15:11:41.458414,10.202726
1749462101.509609,453643430,8,39,29,192,250,5,8,2,209,Normal,2025-06-09T15:11:41.509609,10.253921
1749462101.559602,482748528,8,32,234,71,186,47,98,51,120,Normal,2025-06-09T15:11:41.559602,10.303914
1749462101.605164,61169280,8,210,244,249,63,87,235,99,79,Normal,2025-06-09T15:11:41.605164,10.349476
1749462101.658591,485843678,8,206,220,250,65,121,194,24,74,Normal,2025-06-09T15:11:41.658591,10.402903
1749462101.709703,67944003,8,136,161,52,103,242,210,206,49,Normal,2025-06-09T15:11:41.709703,10.454015
1749462101.758531,147611786,8,120,166,43,143,44,23,61,225,Normal,2025-06-09T15:11:41.758531,10.502843
1749462101.809528,284912544,8,9,12,35,90,226,86,59,130,Normal,2025-06-09T15:11:41.809528,10.55384
1749462101.858899,499107628,8,223,8,133,173,85,244,19,10,Normal,2025-06-09T15:11:41.858899,10.603211
1749462101.908944,176451471,8,236,90,186,22,201,189,247,36,Normal,2025-06-09T15:11:41.908944,10.653256
1749462101.95795,167136621,8,176,167,169,21,242,173,70,180,Normal,2025-06-09T15:11:41.957950,10.702262
1749462102.007903,374068089,8,241,82,134,12,46,73,68,200,Normal,2025-06-09T15:11:42.007903,10.752215
1749462102.047456,250615325,8,184,73,120,203,19,252,100,201,Normal,2025-06-09T15:11:42.047456,10.791768
1749462102.109063,343156650,8,7,144,218,32,133,239,108,118,Normal,2025-06-09T15:11:42.109063,10.853375
1749462102.15824,465546649,8,192,117,221,14,35,184,246,160,Normal,2025-06-09T15:11:42.158240,10.902552
1749462102.20966,181155098,8,84,249,4,76,214,128,142,159,Normal,2025-06-09T15:11:42.209660,10.953972
1749462102.252834,279372701,8,65,108,205,163,161,32,76,194,Normal,2025-06-09T15:11:42.252834,10.997146
1749462102.305394,264814862,8,180,246,202,126,79,104,104,188,Normal,2025-06-09T15:11:42.305394,11.049706
1749462102.348718,12285207,8,157,148,107,22,132,101,24,73,Normal,2025-06-09T15:11:42.348718,11.09303
1749462102.409723,17175097,8,32,100,184,79,123,119,188,49,Normal,2025-06-09T15:11:42.409723,11.154035
1749462102.459504,73754338,8,236,126,184,155,247,134,106,31,Normal,2025-06-09T15:11:42.459504,11.203816
1749462102.504862,136760225,8,191,231,21,8,221,230,250,203,Normal,2025-06-09T15:11:42.504862,11.249174
1749462102.558552,254184294,8,93,230,91,230,1,87,53,254,Normal,2025-06-09T15:11:42.558552,11.302864
1749462102.60563,394458078,8,197,110,242,136,201,75,139,124,Normal,2025-06-09T15:11:42.605630,11.349942
1749462102.658839,466741214,8,4,132,133,184,15,171,63,167,Normal,2025-06-09T15:11:42.658839,11.403151
1749462102.703572,169090172,8,235,148,63,63,58,199,185,140,Normal,2025-06-09T15:11:42.703572,11.447884
1749462102.758587,411767310,8,68,150,237,179,158,208,239,84,Normal,2025-06-09T15:11:42.758587,11.502899
1749462102.806341,491194860,8,50,16,61,217,160,197,34,68,Normal,2025-06-09T15:11:42.806341,11.550653
1749462102.855798,2018872,8,223,143,28,241,235,52,239,98,Normal,2025-06-09T15:11:42.855798,11.60011
1749462102.90859,305241648,8,157,202,238,221,98,235,26,162,Normal,2025-06-09T15:11:42.908590,11.652902
1749462102.95817,276597571,8,13,247,183,36,30,218,118,198,Normal,2025-06-09T15:11:42.958170,11.702482
1749462103.008319,472798183,8,140,182,131,197,16,136,235,245,Normal,2025-06-09T15:11:43.008319,11.752631
1749462103.059216,410622430,8,37,167,8,235,93,228,0,77,Normal,2025-06-09T15:11:43.059216,11.803528
1749462103.107951,535126487,8,65,119,43,216,6,193,10,230,Normal,2025-06-09T15:11:43.107951,11.852263
1749462103.158783,216005402,8,71,173,220,241,206,92,6,151,Normal,2025-06-09T15:11:43.158783,11.903095
1749462103.208345,216752238,8,238,201,112,45,115,83,224,114,Normal,2025-06-09T15:11:43.208345,11.952657
1749462103.258152,141408036,8,102,141,184,148,120,182,10,33,Normal,2025-06-09T15:11:43.258152,12.002464
1749462103.309078,321629714,8,83,83,24,130,178,164,173,219,Normal,2025-06-09T15:11:43.309078,12.05339
1749462103.358893,215588079,8,149,55,170,225,72,159,100,176,Normal,2025-06-09T15:11:43.358893,12.103205
1749462103.408514,39717559,8,37,135,242,147,222,184,9,221,Normal,2025-06-09T15:11:43.408514,12.152826
1749462103.459111,25405144,8,191,98,145,112,45,183,149,171,Normal,2025-06-09T15:11:43.459111,12.203423
1749462103.509451,534890516,8,28,121,71,105,156,149,151,248,Normal,2025-06-09T15:11:43.509451,12.253763
1749462103.559319,269422400,8,130,250,53,29,237,249,248,52,Normal,2025-06-09T15:11:43.559319,12.303631
1749462103.608952,32696405,8,122,155,85,219,206,142,93,74,Normal,2025-06-09T15:11:43.608952,12.353264
1749462103.658998,312380491,8,100,33,173,141,131,211,33,195,Normal,2025-06-09T15:11:43.658998,12.40331
1749462103.709136,330331430,8,142,26,230,51,253,240,101,237,Normal,2025-06-09T15:11:43.709136,12.453448
1749462103.759291,484454979,8,115,105,172,122,70,196,253,85,Normal,2025-06-09T15:11:43.759291,12.503603
1749462103.809509,476602651,8,40,179,188,57,136,255,235,176,Normal,2025-06-09T15:11:43.809509,12.553821
